Название;Бренд;Категория;Цена_итог;Фасовка_прайс;Описание;Состав_ДВ;Норма_расхода;Культуры_и_фазы;Фасовка_каталог;Физпоказатели;Источник;Сверить;Есть_техданные
FERTIKA Сульфат калия;Фертика;Удобрения;от 103 ₽ (МКР 1000 кг) · 108 ₽ (мешки 35 кг);МКР 1000 кг / мешки 35 кг;Концентрированное бесхлорное калийное удобрение с серой.;K2O 50 · S 17 (%);"Томаты, огурцы, цветочные 15–20 г/м²; картофель, капуста, свёкла, морковь 25–30 г/м²; редис, лук, салат 5–10 г/м²; защищённый грунт 30–40 г/м²; плодовые деревья 150–200 г/растение";Плодовые, ягодные, овощные, чувствительные к хлору культуры;1000 кг, 35 кг;Бесхлорное;Каталог АО «Фертика»;;да
Микромак;Волски Биохим;Обработка семян;от 645.7 ₽;см. прайс;Комплексное микроудобрение для обработки семян, повышения всхожести и развития корней.;17 элементов питания: 5 макро- и 12 микроэлементов в хелатной форме (в т.ч. ванадий — катализатор азотфиксации). 23 индивидуальных состава под конкретные культуры;"Семена 2 л/т (1 л состава А + 1 л состава Б), рабочий раствор 10 л/т; клубни 0,5 л/т, рабочий раствор 30 л/т";Обработка семян всех基 полевых культур;канистра 10 л;Плотность 1,3 г/см³;Буклет ООО «Волски Биохим»;;да
Экомак;Волски Биохим;Обработка семян;от 724.5 ₽;см. прайс;Стартовое микроудобрение для обработки семян и повышения устойчивости всходов.;"N 2,4 · P2O5 0,61 · K2O 1,77 · MgO 0,97 · SO3 4,9 · Fe 0,35 · Mn 0,58 · B 0,35 · Zn 0,98 · Cu 0,97 · Mo 0,09 · Co 0,18 (% мас.); микро — хелат ОЭДФ. 12 элементов + полимерные прилипатели";"Семена 0,5 л/т (рабочий раствор 10 л/т); клубни 0,2 л/т (рабочий раствор 30 л/т)";Предпосевная обработка семян и клубней;канистра 10 л;Плотность 1,2 г/см³;Буклет ООО «Волски Биохим»;;да
Микроэл Универсальный;Волски Биохим;Листовые подкормки;от 651 ₽;см. прайс;Комплексное микроудобрение для листовых подкормок и коррекции дефицитов.;"Mn 3,4 · Mo 2,2 · MgO 15 · Zn 14 · Cu 6 · Fe 3,0 · Co 0,8 · B 1,6 · SO3 68 · N 4 · K2O 0,3 г/л; + Cr, Ni, Li, Se. 15 элементов, микро — хелат ЭДТА";0,2–0,5 л/га, 2 обработки (при однократной — до 0,4 л/га). Рабочий раствор 30–300 л/га;Кукуруза 0,2 (5–9 лист, трубкование), подсолнечник 0,2, сах. свёкла 0,4, зернобобовые 0,2, озимые и яровые зерновые 0,2 (кущение, колошение), картофель 0,4, плодово-ягодные 0,5–1,0;канистра 10 л;Плотность 1,3 г/см³;Буклет ООО «Волски Биохим»;;да
Микроэл Пивоваренный ячмень;Волски Биохим;Листовые подкормки;от 651 ₽;;Специализированное микроудобрение для питания пивоваренного ячменя.;Состав линейки «Микроэл», вариант для пивоваренного ячменя: ограничивает азотфиксацию, препятствует избыточному накоплению белка, стимулирует фотосинтез и накопление углеводов;0,2–0,4 л/га, 2 обработки. Рабочий раствор 30–300 л/га;Пивоваренный ячмень;канистра 10 л;Плотность 1,3 г/см³;Буклет ООО «Волски Биохим»;;да
Страда N;Волски Биохим;Листовые подкормки;от 409.5 ₽;см. прайс;Жидкое азотное удобрение с микроэлементами для роста вегетативной массы.;"N 374 · P2O5 28 · K2O 42 · MgO 2,1 · SO3 17,5 · Fe 0,42 · Mn 0,7 · B 0,22 · Zn 1,8 · Cu 0,83 · Mo 0,7 · Co 0,014 · Se 0,014 г/л; + органические кислоты, витамины, кремний";3–5 л/га (стандарт 3 л/га). Рабочий раствор 100–300 л/га;Кукуруза (5–9 лист, трубкование), подсолнечник (4–5 пар листьев), сах. свёкла, зернобобовые, озимые и яровые зерновые (кущение, колошение), картофель;канистра 10 л, флакон 0,9 л;Суспензия, 374 г/л азота;Буклет ООО «Волски Биохим»;;да
Страда P;Волски Биохим;Листовые подкормки;от 577.5 ₽;см. прайс;Жидкое фосфорное удобрение для развития корней, цветения и плодоношения.;N 65 · P2O5 258 · K2O 65 · MgO 2,3 · SO3 10,3 · Fe 0,9 · Mn 0,65 · B 0,26 · Zn 2,1 · Cu 0,9 · Mo 0,65 · Co 0,13 · Se 0,026 г/л;"3–5 л/га (стандарт 3 л/га); картофель 5 л/га при обработке клубней. Рабочий раствор 100–300 л/га";Кукуруза (5–7 лист), подсолнечник, сах. свёкла, зернобобовые, зерновые (кущение — колошение), картофель;канистра 10 л, флакон 0,9 л;Стимулирует развитие корневой системы;Буклет ООО «Волски Биохим»;;да
Страда K;Волски Биохим;Листовые подкормки;от 332.5 ₽;см. прайс;Жидкое калийное удобрение для качества и лёжкости урожая.;K2O 152 · N 51 · P2O5 63 · SO3 44,2 · Fe 0,25 · Mn 2,4 · B 0,11 · Zn 0,063 · Cu 0,063 · Mo 0,013 · Co 0,013 · Se 0,013 г/л. 12 элементов питания;3–5 л/га (стандарт 3 л/га). Рабочий раствор 100–300 л/га;Кукуруза (трубкование), подсолнечник (формирование корзинки), сах. свёкла, зернобобовые (бутонизация), рис, картофель (после цветения);канистра 10 л, флакон 0,9 л;Плотность 1,3 г/см³;Буклет ООО «Волски Биохим»;;да
Волски Моно-Сера;Волски Биохим;Листовые подкормки;от 490 ₽;;Высококонцентрированное серное удобрение для серолюбивых культур.;Сера 72% · N 27 г/л (2,7%) · Mg 31 г/л (3,1%);0,5–1,0 л/га (до 1 л/га при низком содержании серы). Рабочий раствор 100–300 л/га;"Рапс, сурепица, рыжик (3–7 лист — розетка); горох, соя, нут (3–4 лист — стеблевание); зерновые (колошение — флаговый лист)";канистра 10 л;Плотность 1,4 г/см³;Буклет ООО «Волски Биохим»;;да
Волски Моно-Бор;Волски Биохим;Листовые подкормки;от 760 ₽;;Борное микроудобрение для цветения, опыления и формирования завязей.;Бор 131 г/л (13,1%) · N 60 г/л (6%) · органический проникатель;0,5 л/га, 1–2 обработки (до 1 л/га при низком содержании бора). Рабочий раствор 100–300 л/га;Подсолнечник (формирование корзинки), сах. свёкла (перед смыканием рядков), картофель (смыкание рядков), горох/соя/рапс/горчица (бутонизация, перед цветением);канистра 10 л;Плотность 1,3 г/см³;Буклет ООО «Волски Биохим»;;да
Волски Моно-Цинк;Волски Биохим;Листовые подкормки;от 728 ₽;;Цинковое микроудобрение для роста, фотосинтеза и стрессоустойчивости.;Цинк 75 г/л (7,5%) · N 41 г/л (4,1%) · влагоудерживающий компонент;0,5 л/га, 1 обработка (до 1 л/га при низком содержании цинка). Рабочий раствор 100–300 л/га;"Кукуруза (5–9 лист); другие культуры — рост листьев и стеблей";канистра 10 л;Плотность 1,2 г/см³;Буклет ООО «Волски Биохим»;;да
Волски Моно-Железо;Волски Биохим;Листовые подкормки;от 430 ₽;;Хелатное железосодержащее микроудобрение для профилактики хлороза.;Железо 100 г/л (10%) · N 41 г/л (4,1%) · органический мембранный проникатель;Овощные и плодово-ягодные 0,5–1,0 л/га (1–3 обработки), зерновые 0,5 л/га (1 обработка). Рабочий раствор 100–300 л/га;Овощные, зерновые, плодово-ягодные — при хлорозе и недостатке железа;канистра 10 л;Плотность 1,3 г/см³;Буклет ООО «Волски Биохим»;;да
Волски Моно-Медь;Волски Биохим;Листовые подкормки;от 465 ₽;;Хелатное медное микроудобрение для обменных процессов и устойчивости.;Медь 82 г/л (8,2%) · N 41 г/л (4,1%) · органический мембранный проникатель;0,5–1,0 л/га. Рабочий раствор 100–300 л/га;Культуры при недостатке меди;канистра 10 л;Плотность 1,2 г/см³;Буклет ООО «Волски Биохим»;нормы;да
Диформа Бор-Молибден;Волски Биохим;Листовые подкормки;от 1290 ₽;см. прайс;Микроудобрение с бором и молибденом для цветения и азотного обмена.;Бор 100 г/л (10%) · Молибден 40 г/л (4%) · N 70 г/л (7%) · мембранный проникатель. Самое высокое содержание молибдена в линейке;"Семена 0,5–1,0 л/т; листовая подкормка 0,5–1,5 л/га";"Зернобобовые — горох, соя, нут, чечевица; семенники многолетних трав, лён";канистра 10 л;Плотность 1,4 г/см³;Буклет ООО «Волски Биохим»;;да
Диформа Кальций-Азот;Волски Биохим;Листовые подкормки;от 650 ₽;см. прайс;Удобрение с кальцием и азотом для прочности тканей и качества плодов.;Кальций 100 г/л (10%) · Азот 50 г/л (5%);0,5–2,0 л/га, листовая подкормка;Плодово-ягодные, овощи, картофель;канистра 10 л;Плотность 1,2 г/см³;Буклет ООО «Волски Биохим»;;да
Диформа Магний-Цинк;Волски Биохим;Листовые подкормки;от 653 ₽;см. прайс;Микроудобрение с магнием и цинком для фотосинтеза и стрессоустойчивости.;"Магний 75 г/л (7,5%) · Цинк 30 г/л (3%) · Азот 52 г/л (5,2%) · Сера 37 г/л (3,7%) · Фосфор 14 г/л (1,4%); хелат ОЭДФ. Самое высокое содержание магния";0,5–2,0 л/га, листовая подкормка;Кукуруза, сахарная свёкла, картофель, овощи, плодово-ягодные;канистра 10 л;Плотность 1,2 г/см³;Буклет ООО «Волски Биохим»;;да
Диформа Магний-Марганец;Волски Биохим;Листовые подкормки;от 520 ₽;см. прайс;Микроудобрение с магнием и марганцем для фотосинтеза и ферментативных процессов.;Магний 50 г/л (5%) · Марганец 10 г/л (1%) · Азот 10 г/л (1%) · Сера 110 г/л (11%) · Фосфор 36 г/л (3,6%);0,5–2,0 л/га, листовая подкормка;Плодово-ягодные, сахарная свёкла, кукуруза;канистра 10 л;Плотность 1,2 г/см³;Буклет ООО «Волски Биохим»;;да
Диформа Марганец-Цинк;Волски Биохим;Листовые подкормки;от 605 ₽;см. прайс;Микроудобрение с марганцем и цинком для роста и фотосинтеза.;"Марганец 56 г/л (5,6%) · Цинк 28 г/л (2,8%) · Азот 10 г/л (1%) · Сера 120 г/л (12%) · Фосфор 6 г/л (0,6%); хелат ОЭДФ";0,5–2,0 л/га, листовая подкормка;Плодово-ягодные, овощи, картофель, кукуруза, сахарная свёкла;канистра 10 л;Плотность 1,2 г/см³;Буклет ООО «Волски Биохим»;;да
Диформа Марганец-Бор;Волски Биохим;Листовые подкормки;от 1290 ₽;см. прайс;Микроудобрение с марганцем и бором для цветения и формирования урожая.;Марганец 50 г/л (5%) · Бор 25 г/л (2,5%) · Азот 25 г/л (2,5%);0,5–2,0 л/га, листовая подкормка;Плодово-ягодные, овощи, картофель, сахарная свёкла, подсолнечник;канистра 10 л;Плотность 1,2 г/см³;Буклет ООО «Волски Биохим»;;да
Диформа Кремний-Калий;Волски Биохим;Листовые подкормки;от 695 ₽;см. прайс;Удобрение с кремнием и калием для прочности тканей и стрессоустойчивости.;Кремний 340 г/л (34%) · Калий 160 г/л (16%) · Азот 2,3 г/л (0,23%), амидная форма;"Семена 0,2–0,5 л/т; листовая подкормка 0,2–1,0 л/га";Зерновые, плодово-ягодные, овощи;канистра 10 л;Плотность 1,3 г/см³;Буклет ООО «Волски Биохим»;;да
Диформа Кобальт-Селен;Волски Биохим;Листовые подкормки;от 1020 ₽;см. прайс;Микроудобрение с кобальтом и селеном для азотфиксации и антистрессовой защиты.;Кобальт 50 г/л (5%) · Селен 1 г/л (0,1%) · Азот 10 г/л (1%) · Сера 70 г/л (7%) · Фосфор 13 г/л (1,3%);0,5–1,0 л/га, листовая подкормка;Многолетние травы (клевер, люцерна, козлятник и смеси со злаковыми), кормовые культуры;канистра 10 л;Плотность 1,1 г/см³;Буклет ООО «Волски Биохим»;;да
Реликт Р Старт (протравитель);Реликт;Обработка семян;от 735 ₽;см. прайс;Гуминовый препарат с микроэлементами и Bacillus для предпосевной обработки семян.;Гуминовые и фульвокислоты 4–6% · хелатные микроэлементы (Mg, Fe, Mn, Cu, Zn) ≥0,4% · консорциум 4 штаммов рода Bacillus, титр ≥1×10⁷;"Предпосевная обработка семян зерновых колосовых, обработка клубней и посадочного материала; возможны листовые обработки в вегетацию";Пшеница, ячмень, рожь, картофель. Пролонгированная защита от корневых гнилей злаковых и ризоктониоза картофеля;;;Каталог ГК «Генезис» (2026);нормы;да
Реликт Р;Реликт;Листовые подкормки;от 615 ₽;см. прайс;Гуминово-фульвовый стимулятор для повышения урожайности и стрессоустойчивости.;"Соли гуминовых и фульвовых кислот 4–6% (40–60 г/л) · N общий 0,2–0,5% · N аммонийный 0,1–0,25% · P общий 0,2–0,35% · K общий 0,2–0,35%; рН 9,0–11";"Обработка семян 0,4 л/т; листовые подкормки — по схеме, часто в баковой смеси с «Реликт М»";Все сельхозкультуры. Подтверждено на клевере, яровом рапсе, кукурузе;;Жидкость, рН 9,0–11;Каталог ГК «Генезис» (2026);нормы;да
Реликт М Молибден;Реликт;Листовые подкормки;от 1340 ₽;раствор;Молибденовое микроудобрение с аминокислотами для азотного обмена.;"Молибден (MoO3) 60–70 г/л · азот (N) 25–35 г/л · комплекс аминокислот 100–120 г/л; рН 8–9,5";"Обработка семян 0,5 л/т; листовая подкормка 0,2–0,4 л/га";"Бобовые (ключевая роль в усвоении азота), соя, клевер; все сельхозкультуры";;рН 8–9,5;Каталог ГК «Генезис» (2026);;да
Реликт М Сера;Реликт;Листовые подкормки;от 730 ₽;раствор;Серное удобрение для синтеза аминокислот, белка и повышения урожайности.;"Сера (SO3) 550–600 г/л · азот (N) 110–130 г/л; рН 5–6. Сульфитная форма";0,5 л/га листовая подкормка (рапс — фазы розетка, стеблевание, бутонизация);"Рапс, соя, капуста и другие серолюбивые культуры; зерновые — качество зерна";;рН 5–6;Каталог ГК «Генезис» (2026);;да
Реликт М Бор;Реликт;Листовые подкормки;от 765 ₽;раствор;Борное микроудобрение для цветения, опыления и формирования плодов.;"Бор (B) 130–150 г/л (в соединении с этаноламином ≥460 г/л) · азот (N) 90–110 г/л · молибден (MoO3) 4–8 г/л; рН 8–9,5";0,5–1,5 л/га листовая подкормка;Все сельхозкультуры. Подсолнечник (2–5 пар листьев, начало образования корзинки), сахарная свёкла 1,0–1,5 л/га;;рН 8–9,5;Каталог ГК «Генезис» (2026);;да
Реликт М Цинк;Реликт;Листовые подкормки;от 695 ₽;раствор;Цинковое удобрение с аминокислотами для фотосинтеза и качества урожая.;"Цинк (ZnO) 120–140 г/л · азот (N) 30–40 г/л · комплекс аминокислот 15–180 г/л; рН 5–6";0,43–1,0 л/га листовая подкормка;"Кукуруза (3–5 лист, 4 лист при гербицидной обработке); все сельхозкультуры";;рН 5–6;Каталог ГК «Генезис» (2026);;да
Реликт М Кремний;Реликт;Листовые подкормки;от 470 ₽;раствор;Кремниевое удобрение с калием для укрепления растений и стрессоустойчивости.;"Кремний (SiO2) 210–230 г/л · Калий (K2O) 90–110 г/л; рН 11–12";0,2 л/га, до 3 обработок за вегетацию;"Все сельхозкультуры. Зерновые — снижение риска полегания; томаты (подтверждено)";;рН 11–12;Каталог ГК «Генезис» (2026);;да
Relict Макро N Mg+;Реликт;Удобрения;Цена по запросу;;Азотно-серно-магниевое удобрение для листовых подкормок.;"Азот общий 250–280 г/л · сера (SO3) 40–50 г/л · магний (MgO) 7–10 г/л; плотность 1,2–1,3 г/см³, рН 5,5–7,5";Листовая подкормка;Все декоративные и сельскохозяйственные культуры;;Плотность 1,2–1,3 г/см³, рН 5,5–7,5;Каталог ГК «Генезис» (2026);нормы;да
Relict Макро PK;Реликт;Удобрения;Цена по запросу;;Фосфорно-калийное удобрение для налива и качества урожая.;"Азот общий 65–90 г/л · фосфор (P2O5) 410–450 г/л · калий (K2O) 140–150 г/л; плотность 1,35–1,45 г/см³, рН 6,5–7,5";Листовая подкормка;"Все культуры; особенно масличные — подсолнечник, рапс, соя";;Плотность 1,35–1,45 г/см³, рН 6,5–7,5;Каталог ГК «Генезис» (2026);нормы;да
OYYO Альфа Аминостарт;OYYO;Удобрения;Цена по запросу;;Органоминеральное удобрение с аминокислотами для стартового развития.;"Гуминовые и фульвовые кислоты ≥10% · N общий 0,7% (мочевинный 0,1, аммонийный 0,1, нитратный 0,5) · P 0,5% · K 1,5% · Mg 0,08% · Ca 0,1% · Mn 0,0007% · Cu 0,0001% · Zn 0,0003% · Fe 0,07% · комплекс аминокислот и пептидов; рН 9,5–10,0";;Все сельхозкультуры;1 л, 5 л;Жидкое органоминеральное, рН 9,5–10,0;Каталог ГК «Генезис» (2026);нормы;да
OYYO Альфа Аминобиостим;OYYO;Удобрения;Цена по запросу;;Органоминеральное удобрение для активного роста и восстановления.;"Гуминовые и фульвовые кислоты ≥10% · N общий 12% (мочевинный 8, аммонийный 2, нитратный 2) · P 4% · K 4% · Mg 0,08% · Ca 0,1% · Mn 0,01% · Cu 0,01% · Zn 0,01% · B 0,02% · Mo 0,01% · Fe 0,1% · аминокислоты и пептиды 2,0%; рН 6,3–6,8";;Все сельхозкультуры;1 л, 5 л;Жидкое органоминеральное, рН 6,3–6,8;Каталог ГК «Генезис» (2026);нормы;да
OYYO Альфа Аминофиниш;OYYO;Удобрения;Цена по запросу;;Высококалийное органоминеральное удобрение для налива урожая.;"Гуминовые и фульвовые кислоты ≥10% · N общий 6% · P 4% · K 12% · S 4% · Mg 0,08% · Ca 0,1% · Mn 0,01% · Cu 0,001% · Zn 0,01% · B 0,02% · Mo 0,01% · Fe 0,1% · аминокислоты и пептиды 1,0%; рН 7,4–8,0";;Все сельхозкультуры — финальные стадии;1 л, 5 л;Жидкое органоминеральное, рН 7,4–8,0;Каталог ГК «Генезис» (2026);нормы;да
OYYO Альфа Старт;OYYO;Удобрения;Цена по запросу;;Органоминеральное удобрение для начальных фаз роста и корней.;"Гуминовые и фульвовые кислоты ≥10% · N общий 0,7% · P 0,5% · K 1,5% · Mg 0,08% · Ca 0,1% · Mn 0,0007% · Cu 0,0001% · Zn 0,0003% · Fe 0,07% · комплекс аминокислот и пептидов; рН 9,5–10,0";;Все сельхозкультуры;1 л, 5 л;Жидкое органоминеральное, рН 9,5–10,0;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Амино;OYYO;Удобрения;Цена по запросу;;Органоминеральное удобрение с аминокислотами и гуминовыми веществами.;N общий 5,4% (аммонийный 1,4, нитратный 4) · P 4,6% · K 15% · Ca 0,12% · S 5,1% · органическое вещество ≥1% (лизин, треонин, гуминовые и фульвовые кислоты) · индолилуксусная кислота 0,2%;;Все сельхозкультуры;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
OYYO Биогель Профи;OYYO;Удобрения;Цена по запросу;;Комплексное органоминеральное удобрение с макро- и микроэлементами.;N общий 12,4% (аммонийный 2,8, нитратный 9,6) · P 13,8% · K 5% · Mg 0,3% · S 1,7% · Fe 0,013% · Mn 0,01% · Cu 0,002% · Mo 0,001% · B 0,005% · органическое вещество ≥5% · ИУК 0,2%;;Все сельхозкультуры;1 л, 5 л;Гранулированное комплексное;Каталог ГК «Генезис» (2026);нормы;да
